count,sensitive,emotion,papers,days,points,level
vhigh,vhigh,2,low,med,low,one
vhigh,vhigh,2,low,med,med,one
vhigh,vhigh,2,low,med,high,one
vhigh,vhigh,2,low,big,low,one
vhigh,vhigh,2,low,big,med,one
vhigh,vhigh,2,low,big,high,one
vhigh,vhigh,2,med,small,low,two
vhigh,vhigh,2,med,small,med,one
vhigh,vhigh,2,med,small,high,one
vhigh,vhigh,2,med,med,low,two
vhigh,vhigh,2,med,med,med,one
vhigh,vhigh,2,med,med,high,one
vhigh,vhigh,2,med,big,low,two
vhigh,vhigh,2,med,big,med,one
vhigh,vhigh,2,med,big,high,one
vhigh,vhigh,2,high,small,low,three
vhigh,vhigh,2,high,small,med,three
vhigh,vhigh,2,high,small,high,three
vhigh,vhigh,2,high,med,low,three
vhigh,vhigh,2,high,med,med,one
vhigh,vhigh,2,high,med,high,three
vhigh,vhigh,2,high,big,low,three
vhigh,vhigh,2,high,big,med,three
vhigh,vhigh,2,high,big,high,one
vhigh,vhigh,3,low,small,low,two
vhigh,vhigh,3,low,small,med,one
vhigh,vhigh,3,low,small,high,one
vhigh,vhigh,3,low,med,low,one
vhigh,vhigh,3,low,med,med,one
vhigh,vhigh,3,low,med,high,one
vhigh,vhigh,3,low,big,low,one
vhigh,vhigh,3,low,big,med,one
vhigh,vhigh,3,low,big,high,one
vhigh,vhigh,3,med,small,low,two
vhigh,vhigh,3,med,small,med,one
vhigh,vhigh,3,med,small,high,one
vhigh,vhigh,3,med,med,low,two
vhigh,vhigh,3,med,med,med,one
vhigh,vhigh,3,med,med,high,one
vhigh,vhigh,3,med,big,low,two
vhigh,vhigh,3,med,big,med,one
vhigh,vhigh,3,med,big,high,one
vhigh,vhigh,3,high,small,low,three
vhigh,vhigh,3,high,small,med,three
vhigh,vhigh,3,high,small,high,one
vhigh,vhigh,3,high,med,low,three
vhigh,vhigh,3,high,med,med,three
vhigh,vhigh,3,high,med,high,three
vhigh,vhigh,3,high,big,low,three
vhigh,vhigh,3,high,big,med,three
vhigh,vhigh,3,high,big,high,three
vhigh,vhigh,4,low,small,low,one
vhigh,vhigh,4,low,small,med,one
vhigh,vhigh,4,low,small,high,one
vhigh,vhigh,4,low,med,low,two
vhigh,vhigh,4,low,med,med,one
vhigh,vhigh,4,low,med,high,one
vhigh,vhigh,4,low,big,low,two
vhigh,vhigh,4,low,big,med,one
vhigh,vhigh,4,low,big,high,one
vhigh,vhigh,4,med,small,low,two
vhigh,vhigh,4,med,small,med,one
vhigh,vhigh,4,med,small,high,one
vhigh,vhigh,4,med,med,low,one
vhigh,vhigh,4,med,med,med,one
vhigh,vhigh,4,med,med,high,one
vhigh,vhigh,4,med,big,low,one
vhigh,vhigh,4,med,big,med,one
vhigh,vhigh,4,med,big,high,one
vhigh,vhigh,4,high,small,low,three
vhigh,vhigh,4,high,small,med,one
vhigh,vhigh,4,high,small,high,three
vhigh,vhigh,4,high,med,low,three
vhigh,vhigh,4,high,med,med,three
vhigh,vhigh,4,high,med,high,three
vhigh,vhigh,4,high,big,low,three
vhigh,vhigh,4,high,big,med,three
vhigh,vhigh,4,high,big,high,three
vhigh,vhigh,5,low,small,low,one
vhigh,vhigh,5,low,small,med,one
vhigh,vhigh,5,low,small,high,one
vhigh,vhigh,5,low,med,low,two
vhigh,vhigh,5,low,med,med,one
vhigh,vhigh,5,low,med,high,one
vhigh,vhigh,5,low,big,low,two
vhigh,vhigh,5,low,big,med,one
vhigh,vhigh,5,low,big,high,one
vhigh,vhigh,5,med,small,low,two
vhigh,vhigh,5,med,small,med,one
vhigh,vhigh,5,med,small,high,one
vhigh,vhigh,5,med,med,low,two
vhigh,vhigh,5,med,med,med,one
