count,sensitive,emotion,papers,days,points,level
vhigh,vhigh,4,high,med,high,one
vhigh,vhigh,4,high,big,low,one
vhigh,vhigh,4,high,big,med,one
vhigh,vhigh,4,high,big,high,one
vhigh,vhigh,5,low,small,low,one
vhigh,vhigh,5,low,small,med,one
vhigh,vhigh,5,low,small,high,one
vhigh,vhigh,5,low,med,low,one
vhigh,vhigh,5,low,med,med,one
vhigh,vhigh,5,low,med,high,one
vhigh,vhigh,5,low,big,low,one
low,low,5,low,small,med,four
low,low,5,low,small,high,four
low,low,5,low,med,low,four
low,low,5,low,med,med,four
low,low,5,low,med,high,four
low,low,5,low,big,low,four
low,low,5,low,big,med,four
low,low,5,low,big,high,four
low,low,5,med,small,low,four
low,low,5,med,small,med,four
low,low,5,med,small,high,four
low,low,5,med,med,low,four
low,low,5,med,med,med,four
low,low,5,med,med,high,four
low,low,5,med,big,low,four
low,low,5,med,big,med,four
low,low,5,med,big,high,four
vhigh,high,4,low,med,med,two
vhigh,high,4,low,med,high,two
vhigh,high,4,low,big,low,two
low,low,5,high,small,low,four
low,low,5,high,small,med,four
low,low,5,high,small,high,four
low,low,5,high,med,low,four
low,low,5,high,med,med,four
low,low,5,high,med,high,four
low,low,5,high,big,low,four
low,low,5,high,big,med,four
low,low,5,high,big,high,four
vhigh,vhigh,5,low,big,med,one
vhigh,vhigh,5,low,big,high,one
vhigh,vhigh,5,med,small,low,one
vhigh,vhigh,5,med,small,med,one
vhigh,vhigh,5,med,small,high,one
vhigh,vhigh,5,med,med,low,one
vhigh,vhigh,5,med,med,med,one
vhigh,vhigh,5,med,med,high,one
vhigh,vhigh,5,med,big,low,one
vhigh,vhigh,5,med,big,med,one
vhigh,vhigh,5,med,big,high,one
vhigh,vhigh,5,high,small,low,one
vhigh,vhigh,5,high,small,med,one
vhigh,vhigh,5,high,small,high,one
vhigh,vhigh,5,high,med,low,one
vhigh,vhigh,5,high,med,med,one
vhigh,vhigh,5,high,med,high,one
vhigh,vhigh,5,high,big,low,one
high,high,5,med,big,med,two
high,high,5,med,big,high,two
high,high,5,high,small,low,two
high,high,5,high,small,med,two
high,high,5,high,small,high,two
high,high,5,high,med,low,two
high,high,5,high,med,med,two
high,high,5,high,med,high,two
high,high,5,high,big,low,two
high,high,5,high,big,med,two
high,high,5,high,big,high,two
med,high,2,high,small,low,three
med,high,2,high,small,med,three
med,high,2,high,small,high,two
med,high,2,high,med,low,three
med,high,2,high,med,med,three
med,high,2,high,med,high,three
med,high,2,high,big,low,three
med,high,2,high,big,med,three
low,low,4,med,big,low,four
low,low,4,med,big,med,four
low,low,4,med,big,high,four
low,low,4,high,small,low,four
low,low,4,high,small,med,four
low,low,4,high,small,high,four
low,low,4,high,med,low,four
low,low,4,high,med,med,four
low,low,4,high,med,high,four
low,low,4,high,big,low,four
low,low,4,high,big,med,four
low,low,4,high,big,high,four
low,low,5,low,small,low,four
low,low,2,med,big,high,three
low,low,2,high,small,low,three
low,low,2,high,small,med,three
low,low,2,high,small,high,three
low,low,2,high,med,low,three
low,low,2,high,med,med,three
low,low,2,high,med,high,three
low,low,2,high,big,low,three
low,low,2,high,big,med,three
low,low,2,high,big,high,three
low,low,3,low,small,low,two
low,med,4,high,med,high,three
low,med,4,high,big,low,three
low,med,4,high,big,med,three
low,med,4,high,big,high,three
low,med,5,low,small,low,three
low,med,5,low,small,med,three
low,med,5,low,small,high,three
low,med,5,low,med,low,three
low,med,5,low,med,med,three
low,med,5,low,med,high,three
low,med,5,low,big,low,three
low,med,5,low,big,med,three
low,med,5,low,big,high,three
low,med,5,med,small,low,three
low,med,5,med,small,med,three
low,med,5,med,small,high,three
low,low,3,low,small,med,one
low,low,3,low,small,high,one
low,low,3,low,med,low,two
low,low,3,low,med,med,one
low,low,3,low,med,high,one
low,low,3,low,big,low,two
